customer_category,quotation_count,quotation_value,average_quotation_value,median_quotation_value,converted_count,lost_count,open_count,decided_count,converted_value,lost_value,open_value,conversion_rate_all_pct,conversion_rate_decided_pct
AGEN,32,77635980.0,2426124.375,902040.0,11,5,16,16,18577400.0,5591000.0,53467580.0,34.375,68.75
DIVISI,2,18789399.98,9394699.99,9394699.99,0,2,0,2,0.0,18789399.98,0.0,0.0,0.0
EMPLOYEE,5,2236000.0,447200.0,700000.0,3,2,0,5,2168000.0,68000.0,0.0,60.0,60.0
END USER,377,1464915104.9,3885716.45862069,830000.0,242,105,30,347,367813378.0,876174726.9,220927000.0,64.19098143236074,69.7406340057637
INDUSTRI,3008,23445384809.0,7794343.354055851,1566750.0,832,1834,342,2666,2664479422.0,18997412535.0,1783492852.0,27.659574468085108,31.207801950487625
INSTANSI,166,1160821655.0,6992901.536144578,1573650.0,75,76,15,151,300626755.0,768324400.0,91870500.0,45.18072289156627,49.668874172185426
SEKOLAH,80,375781655.0,4697270.6875,820000.0,32,45,3,77,87443420.0,285378235.0,2960000.0,40.0,41.55844155844156
UMKM,234,563119300.0,2406492.735042735,760000.0,147,76,11,223,191328300.0,348180500.0,23610500.0,62.82051282051282,65.91928251121077
