division_name,quotation_count,potential_value,converted_count,lost_count,open_count,lost_value,conversion_rate_pct
Cipta Cianjur,31,152285000.0,17,6,8,14668000.0,54.83870967741935
Cipta Digital,623,2356861410.98,325,251,47,1684085420.98,52.1669341894061
Cipta Galuh,2359,19949219070.9,550,1519,290,16324474836.9,23.31496396778296
Cipta Graha,83,587998300.0,27,43,13,413162800.0,32.53012048192771
Cipta Online,123,1536863145.0,31,75,17,1252341265.0,25.203252032520325
Cipta Purwakarta,685,2525456977.0,392,251,42,1611186474.0,57.22627737226277
