quotation_month,quotation_count,quotation_value,converted_count,lost_count,open_count,conversion_rate_pct
2026-01,199,817430551.88,69,127,3,34.67336683417086
2026-02,415,2939693262.0,166,245,4,40.0
2026-03,309,1168471415.0,112,195,2,36.24595469255664
2026-04,576,2684554399.0,190,379,7,32.98611111111111
2026-05,445,1927106576.0,138,300,7,31.011235955056183
2026-06,503,2551600565.0,180,317,6,35.785288270377734
2026-07,568,10809478169.0,197,371,0,34.683098591549296
2026-08,465,2427125524.0,169,210,86,36.344086021505376
2026-09,424,1783223442.0,121,1,302,28.537735849056606
